Player,Team,GP,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Daniel Gibson,CLE,46,919,7.7,.475,.660,.150,0.6,7.3,3.8,13.4,1.7,0.4,10.5,14.3,0.3,0.2,0.5,.026,-1.1,-2.3,-3.4,-0.3
Taj Gibson,CHI,65,1459,14.4,.518,.009,.297,9.7,17.5,13.6,7.1,1.0,4.7,13.2,18.1,1.0,2.3,3.3,.109,-2.6,2.1,-0.5,0.5
Manu Ginóbili,SAS,60,1393,19.0,.560,.436,.382,2.6,13.4,8.3,30.6,2.9,0.7,17.3,25.2,2.1,2.4,4.5,.155,2.8,1.0,3.7,2.0
Drew Gooden,MIL,16,151,7.7,.382,.082,.262,8.9,13.3,11.0,6.1,1.7,2.9,11.7,22.2,-0.3,0.2,-0.1,-0.034,-6.5,-0.7,-7.2,-0.2
Ben Gordon,CHA,75,1560,12.7,.515,.384,.167,1.3,8.5,4.8,17.6,1.2,0.8,14.3,27.8,-0.4,-0.2,-0.6,-0.018,-0.4,-4.7,-5.1,-1.2
Eric Gordon,NOH,42,1264,15.4,.523,.296,.380,0.9,6.4,3.6,19.3,1.9,0.5,14.6,29.4,0.8,0.3,1.1,.042,0.8,-3.3,-2.6,-0.2
Marcin Gortat,PHO,61,1876,15.4,.543,.005,.244,7.6,24.0,15.6,6.5,1.1,3.9,13.6,17.2,1.3,2.1,3.4,.086,-2.4,1.8,-0.6,0.7
Andrew Goudelock,LAL,1,6,-6.4,.000,.000,.000,18.9,0.0,9.2,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,-0.264,-12.2,-5.8,-18.0,0.0
Danny Granger,IND,5,74,4.0,.350,.286,.229,4.6,8.9,6.8,6.9,1.4,1.0,9.4,26.2,-0.2,0.1,-0.1,-0.075,-7.2,-2.4,-9.6,-0.1
Aaron Gray,TOR,42,513,9.0,.544,.000,.489,10.9,20.0,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,.050,-3.0,0.1,-2.9,-0.1
Danny Green,SAS,80,2201,14.1,.600,.623,.119,2.0,10.3,6.4,9.5,2.1,1.8,11.9,16.6,2.6,3.2,5.9,.128,2.0,1.3,3.3,2.9
Draymond Green,GSW,79,1061,7.1,.404,.261,.214,6.2,20.3,13.5,7.0,2.0,1.8,15.4,14.0,-0.9,1.6,0.6,.028,-4.8,1.7,-3.1,-0.3
Gerald Green,IND,60,1080,9.9,.465,.443,.153,3.3,11.1,7.3,7.9,0.9,1.6,10.5,21.3,-0.3,1.5,1.3,.056,-2.6,-0.9,-3.5,-0.4
Jeff Green,BOS,81,2252,15.0,.561,.226,.329,3.0,13.4,8.3,9.6,1.3,2.4,12.5,22.2,1.9,2.8,4.7,.099,-0.9,0.1,-0.8,0.7
Willie Green,LAC,72,1188,11.8,.562,.430,.083,1.7,7.9,4.9,7.1,1.3,0.8,7.2,16.6,1.7,0.9,2.5,.103,0.3,-1.8,-1.5,0.2
Blake Griffin,LAC,80,2598,22.4,.572,.026,.397,8.7,21.5,15.2,19.9,2.0,1.6,12.8,25.4,6.8,3.9,10.6,.196,2.9,1.9,4.8,4.5
Hamed Haddadi,TOT,30,322,10.2,.447,.000,.329,15.0,24.7,19.8,5.7,1.0,6.4,24.8,17.4,-0.4,0.5,0.1,.010,-6.2,2.5,-3.7,-0.1
